下单乘客ID,服务订单,流水,最近坐车时间
831488,28,1290.00000000000000000000,2023-05-28
410803,28,1043.00000000000000000000,2023-05-31
1081208,28,1160.00000000000000000000,2023-05-28
417235,28,1275.00000000000000000000,2023-05-30
498488,28,1098.00000000000000000000,2023-05-29
1295098,28,1138.00000000000000000000,2023-05-28
378948,28,1015.00000000000000000000,2023-05-28
620315,28,1319.00000000000000000000,2023-05-29
741892,28,1178.00000000000000000000,2023-05-27
606539,28,1473.00000000000000000000,2023-05-30
710501,28,1120.00000000000000000000,2023-05-28
990511,28,1015.00000000000000000000,2023-05-29
253241,28,1578.00000000000000000000,2023-05-28
1101195,28,980.00000000000000000000,2023-05-28
383386,28,1191.00000000000000000000,2023-05-31
363605,28,1155.00000000000000000000,2023-05-29
968602,28,1010.00000000000000000000,2023-05-28
651197,28,1063.00000000000000000000,2023-05-28
638791,28,1442.00000000000000000000,2023-05-30
974591,28,1596.00000000000000000000,2023-05-08
593497,28,2321.00000000000000000000,2023-05-23
710968,28,1083.00000000000000000000,2023-05-23
382681,28,1120.00000000000000000000,2023-05-28
491227,28,1646.00000000000000000000,2023-05-27
517213,28,2316.00000000000000000000,2023-05-25
892614,28,980.00000000000000000000,2023-05-27
519738,28,985.00000000000000000000,2023-05-20
390260,28,1123.00000000000000000000,2023-04-17
846769,28,1261.00000000000000000000,2023-05-31
644261,28,1514.00000000000000000000,2023-05-31
690071,27,1415.00000000000000000000,2023-05-25
489622,27,820.00000000000000000000,2023-05-28
1342548,27,1674.00000000000000000000,2023-05-29
1227928,27,1277.00000000000000000000,2023-05-22
410743,27,1316.00000000000000000000,2023-05-28
262080,27,1100.00000000000000000000,2023-05-29
932233,27,2304.00000000000000000000,2023-05-31
1282473,27,945.00000000000000000000,2023-05-31
553904,27,1206.00000000000000000000,2023-05-28
211557,27,1093.00000000000000000000,2023-05-26
636430,27,1123.00000000000000000000,2023-05-27
541714,27,1475.00000000000000000000,2023-05-30
876298,27,945.00000000000000000000,2023-05-27
513437,27,1223.00000000000000000000,2023-05-28
352661,27,1115.00000000000000000000,2023-05-27
239058,27,945.00000000000000000000,2023-05-28
489309,27,1265.00000000000000000000,2023-05-31
988678,27,1071.00000000000000000000,2023-05-31
656976,27,1110.00000000000000000000,2023-05-25
588604,27,945.00000000000000000000,2023-05-28
1376620,27,1215.00000000000000000000,2023-05-29
599688,27,980.00000000000000000000,2023-05-29
252728,27,950.00000000000000000000,2023-05-23
635129,26,983.00000000000000000000,2023-05-27
261113,26,1553.00000000000000000000,2023-05-28
444933,26,1450.00000000000000000000,2023-05-31
882807,26,1524.00000000000000000000,2023-05-28
676509,26,1123.00000000000000000000,2023-05-28
601963,26,1417.00000000000000000000,2023-05-25
731947,26,945.00000000000000000000,2023-05-27
234354,26,1949.00000000000000000000,2023-04-21
806489,26,1050.00000000000000000000,2023-05-28
688095,26,1321.00000000000000000000,2023-05-28
338286,26,920.00000000000000000000,2023-05-21
464271,26,2469.00000000000000000000,2023-05-28
1031808,26,1170.00000000000000000000,2023-05-25
472951,26,910.00000000000000000000,2023-05-19
509682,26,1108.00000000000000000000,2023-05-28
923859,26,910.00000000000000000000,2023-05-31
389304,26,1228.00000000000000000000,2023-05-29
561147,26,1040.00000000000000000000,2023-05-26
226812,26,1311.00000000000000000000,2023-05-29
400035,26,1668.00000000000000000000,2023-05-09
882071,26,1043.00000000000000000000,2023-05-20
1278032,26,910.00000000000000000000,2023-03-30
1284850,26,1116.00000000000000000000,2023-05-26
1363785,26,970.00000000000000000000,2023-05-31
304773,26,1354.00000000000000000000,2023-05-28
401091,26,1624.00000000000000000000,2023-05-29
799926,26,980.00000000000000000000,2023-05-30
696399,26,1248.00000000000000000000,2023-05-09
1294655,26,1329.00000000000000000000,2023-05-28
971440,26,945.00000000000000000000,2023-05-28
548218,26,1155.00000000000000000000,2023-05-25
386480,26,1287.00000000000000000000,2023-05-30
558883,25,930.00000000000000000000,2023-05-20
606489,25,2456.00000000000000000000,2023-05-30
392670,25,1023.00000000000000000000,2023-05-28
252336,25,1781.00000000000000000000,2023-05-20
