订单服务日期,流水
2021/6/19,150472.1
2021/6/20,169664.81
2021/6/21,148354.23
2021/6/22,140731.62
2021/6/23,138541.38
2021/6/24,137780.57
2021/6/25,179265.89
2021/6/26,153311.68
2021/6/27,179989.5
2021/6/28,162749.54
2021/6/29,151462.4
2021/6/30,168855.32
2021/7/1,160345.16
2021/7/2,193170.82
2021/7/3,180786.68
2021/7/4,191452.77
2021/7/5,176461.86
2021/7/6,172237.38
2021/7/7,175214.22
2021/7/8,167198.9
2021/7/9,220215.2
2021/7/10,203043.96
2021/7/11,222995.08
2021/7/12,189775.1
2021/7/13,174328.14
2021/7/14,171754.82
2021/7/15,170987.5
2021/7/16,196996.21
2021/7/17,181556.39
2021/7/18,197909.17
2021/7/19,180212.82
2021/7/20,165174.14
2021/7/21,158217.47
2021/7/22,162022.9
2021/7/23,210419.21
2021/7/24,180480.14
2021/7/25,198535.23
2021/7/26,183092.4
2021/7/27,164833.4
2021/7/28,155806.51
2021/7/29,139298.02
2021/7/30,182982.7
2021/7/31,138950.88
2021/8/1,119336.23
2021/8/2,111426.03
2021/8/3,95401.45
2021/8/4,97525.79
2021/8/5,84399.47
2021/8/6,102765.71
2021/8/7,81282.14
2021/8/8,84262.52
2021/8/9,85160.36
2021/8/10,74843.67
2021/8/11,76285.43
2021/8/12,75487.04
2021/8/13,115828.61
2021/8/14,121214.9
2021/8/15,136829.42
2021/8/16,125193.48
2021/8/17,111177.25
2021/8/18,120751.08
2021/8/19,123229.91
2021/8/20,166124.33
2021/8/21,151793.87
2021/8/22,163958.02
2021/8/23,169473.99
2021/8/24,162155.6
2021/8/25,163352.14
2021/8/26,157874.48
2021/8/27,200798.65
2021/8/28,182707.66
2021/8/29,197425.95
2021/8/30,169404.72
2021/8/31,157569.77
2021/9/1,159279.4
2021/9/2,154900.03
2021/9/3,205735.28
2021/9/4,207443.22
2021/9/5,213886
2021/9/6,169935.25
2021/9/7,133368.29
2021/9/8,138884.79
2021/9/9,145703.85
2021/9/10,193594.26
2021/9/11,170473.9
2021/9/12,201677.54
2021/9/13,158558.55
2021/9/14,105971.3
2021/9/15,100588.33
2021/9/16,103345.69
2021/9/17,106516.65
2021/9/18,150866.69
2021/9/19,131158.1
2021/9/20,98250.24
2021/9/21,130925.77
2021/9/22,137904.9
2021/9/23,96304.96
2021/9/24,104682.78
2021/9/25,81326.17
2021/9/26,90462.37
2021/9/27,88090.43
2021/9/28,91410.53
2021/9/29,133031.07
2021/9/30,209898.38
2021/10/1,195567.16
2021/10/2,140190.42
2021/10/3,163223.16
2021/10/4,145411.11
2021/10/5,148543.75
2021/10/6,158243.47
2021/10/7,204570.16
2021/10/8,174504.41
2021/10/9,158068
2021/10/10,154233.16
2021/10/11,148084.43
2021/10/12,127399.36
2021/10/13,138458.51
2021/10/14,149182.27
2021/10/15,202039.46
2021/10/16,174160.59
2021/10/17,208920.75
2021/10/18,164893.67
2021/10/19,128526
2021/10/20,142008.58
2021/10/21,142356.24
2021/10/22,207024.28
2021/10/23,177068.8
2021/10/24,207152.56
2021/10/25,157832.59
2021/10/26,134841.84
2021/10/27,139725.43
2021/10/28,125802.67
2021/10/29,196692.07
2021/10/30,178072.99
2021/10/31,200820.34
2021/11/1,146807.08
2021/11/2,127556.21
2021/11/3,130685.58
2021/11/4,120624.26
2021/11/5,177325.05
2021/11/6,157796.77
2021/11/7,172446.89
2021/11/8,143019.52
2021/11/9,125985.19
2021/11/10,124816.69
2021/11/11,135618.1
2021/11/12,192121.03
2021/11/13,166132.96
2021/11/14,206924.19
2021/11/15,163765.26
2021/11/16,131359.53
2021/11/17,137118.87
2021/11/18,133710.39
2021/11/19,192455.26
2021/11/20,169760.75
2021/11/21,204414.78
2021/11/22,160839.78
2021/11/23,137640.43
2021/11/24,135175.94
2021/11/25,146308.05
2021/11/26,214091.36
2021/11/27,191096.24
2021/11/28,218595.92
2021/11/29,170415.7
2021/11/30,143574.93
2021/12/1,148735.22
2021/12/2,147112.82
2021/12/3,207894.3
2021/12/4,175757.3
2021/12/5,207566.71
2021/12/6,159737.04
2021/12/7,137672.12
2021/12/8,140847.92
2021/12/9,142642.81
2021/12/10,195982.13
2021/12/11,167506.44
2021/12/12,206169.13
2021/12/13,158113.12
2021/12/14,141475.12
2021/12/15,136946.92
2021/12/16,137969.93
2021/12/17,191883.13
2021/12/18,173738.31
2021/12/19,209605.59
2021/12/20,182259.64
2021/12/21,151097.88
2021/12/22,139101.19
2021/12/23,140635
2021/12/24,204029.08
2021/12/25,170246.19
2021/12/26,187061.75
2021/12/27,150688.13
2021/12/28,158327.02
2021/12/29,167151.22
2021/12/30,181232.94
2021/12/31,286723.45
2022/1/1,236876.95
2022/1/2,208468.96
2022/1/3,266297.89
2022/1/4,187255.32
2022/1/5,164271.82
2022/1/6,176598.39
2022/1/7,230562.88
2022/1/8,209534.69
2022/1/9,208495.5
2022/1/10,173659.93
2022/1/11,156374.01
2022/1/12,156582.1
2022/1/13,159953.16
2022/1/14,191342.89
2022/1/15,176463.19
2022/1/16,200158.05
2022/1/17,183854.82
2022/1/18,171745.51
2022/1/19,169774.34
2022/1/20,180046.37
2022/1/21,195718.54
2022/1/22,182191.16
2022/1/23,189062.11
2022/1/24,183737.53
2022/1/25,183966.7
2022/1/26,184803.46
2022/1/27,212091.69
2022/1/28,205875.28
2022/1/29,201370.09
2022/1/30,170208.11
2022/1/31,42756.06
2022/2/1,39169.65
2022/2/2,67279.05
2022/2/3,109286.19
2022/2/4,148843.73
2022/2/5,190524
2022/2/6,239168.99
2022/2/7,199696.57
2022/2/8,203772.9
2022/2/9,211136.82
2022/2/10,205517.09
2022/2/11,198435.99
2022/2/12,198338.16
2022/2/13,191271.8
2022/2/14,189116.83
2022/2/15,167947.45
2022/2/16,260934.5
2022/2/17,191371.34
2022/2/18,242845.88
2022/2/19,252064.82
2022/2/20,270758.42
2022/2/21,203510.95
2022/2/22,147240.48
2022/2/23,169383.64
2022/2/24,180991.47
2022/2/25,240733.77
2022/2/26,221335.4
2022/2/27,236742.04
2022/2/28,175021.61
2022/3/1,150148.86
2022/3/2,145821.85
2022/3/3,143085.78
2022/3/4,196807.35
2022/3/5,174556.19
2022/3/6,194866.17
2022/3/7,159096.55
2022/3/8,154455.21
2022/3/9,147002.39
2022/3/10,151408.79
2022/3/11,202064.45
2022/3/12,159366.91
2022/3/13,169968.26
2022/3/14,121057.16
2022/3/15,99700.27
2022/3/16,87556.54
2022/3/17,86594.48
2022/3/18,115069.86
2022/3/19,77533.8
2022/3/20,104285.04
2022/3/21,77292.2
2022/3/22,71936.4
2022/3/23,67400.4
2022/3/24,54770.8
2022/3/25,82313.3
2022/3/26,61493
2022/3/27,71927.3
2022/3/28,68110
2022/3/29,56177
2022/3/30,58667.41
2022/3/31,62622.19
2022/4/1,65029.16
2022/4/2,90892.57
2022/4/3,73075.42
2022/4/4,60559.18
2022/4/5,84891.29
2022/4/6,89574.21
2022/4/7,62622.73
2022/4/8,89891.57
2022/4/9,73270.69
2022/4/10,102623.49
2022/4/11,92599.22
2022/4/12,77870.01
2022/4/13,85670.06
2022/4/14,86026.39
2022/4/15,134835.73
2022/4/16,108688.32
2022/4/17,130786.12
2022/4/18,108544.1
2022/4/19,91538.73
2022/4/20,93556.71
2022/4/21,90466.62
2022/4/22,141759.2
2022/4/23,115067.33
2022/4/24,120809.46
2022/4/25,106813.25
2022/4/26,99439.6
2022/4/27,104724.65
2022/4/28,115287.95
2022/4/29,222406.91
2022/4/30,214438
2022/5/1,155654.41
2022/5/2,158974.76
2022/5/3,175438.27
2022/5/4,215187.81
2022/5/5,139537.87
2022/5/6,117799.41
2022/5/7,129030.38
2022/5/8,151725.14
2022/5/9,137778.4
2022/5/10,105785.88
2022/5/11,130607.34
2022/5/12,132751.87
2022/5/13,165324.54
2022/5/14,160415.09
2022/5/15,186879.63
2022/5/16,149528.71
2022/5/17,155318.47
2022/5/18,154192.02
2022/5/19,160889.41
2022/5/20,217178.58
2022/5/21,183230.71
2022/5/22,208116.28
2022/5/23,172505.5
2022/5/24,145430.03
2022/5/25,156535.02
2022/5/26,163484.22
2022/5/27,190729.09
2022/5/28,179339.23
2022/5/29,190606.9
2022/5/30,162200.45
2022/5/31,172771.14
2022/6/1,186907.72
2022/6/2,272274.21
2022/6/3,216405.03
2022/6/4,207945.87
2022/6/5,294931.9
2022/6/6,194854.84
2022/6/7,153106.23
2022/6/8,158945.17
2022/6/9,154881.58
2022/6/10,183798.6
2022/6/11,168081.38
2022/6/12,172975.3
2022/6/13,166995.25
2022/6/14,168266.44
2022/6/15,194253.78
2022/6/16,202334.48
2022/6/17,235364.36
2022/6/18,202061.99
2022/6/19,228488.94
2022/6/20,227392.39
2022/6/21,230358.28
2022/6/22,237257.86
2022/6/23,233442.35
2022/6/24,271708.08
2022/6/25,259675.09
2022/6/26,262960.58
2022/6/27,244794.6
2022/6/28,234193.58
2022/6/29,237960.08
2022/6/30,238524.5
2022/7/1,290922.67
2022/7/2,261728.63
2022/7/3,276747.79
2022/7/4,253811.25
2022/7/5,231920.76
2022/7/6,228688.52
2022/7/7,232109.73
2022/7/8,301958.08
2022/7/9,262926.46
2022/7/10,268856.85
2022/7/11,225634.58
2022/7/12,198035.54
2022/7/13,202417.14
2022/7/14,215591.42
2022/7/15,257792
2022/7/16,232937.11
2022/7/17,246825.58
2022/7/18,230644.86
2022/7/19,209875.3
2022/7/20,204278.29
2022/7/21,217675.33
2022/7/22,246585.95
2022/7/23,215947.58
2022/7/24,236949.81
2022/7/25,229781.5
2022/7/26,214335.88
2022/7/27,211642.8
2022/7/28,194734.29
2022/7/29,251660.95
2022/7/30,229118.01
2022/7/31,255996.21
2022/8/1,238291.45
2022/8/2,216865.01
2022/8/3,219127.51
2022/8/4,212586.33
2022/8/5,247040.11
2022/8/6,230054.94
2022/8/7,263102.5
2022/8/8,239942.06
2022/8/9,213981.34
2022/8/10,212128.24
2022/8/11,211933.73
2022/8/12,239119.91
2022/8/13,225857.55
2022/8/14,233791.65
2022/8/15,248742.43
2022/8/16,207200.18
2022/8/17,221191.41
2022/8/18,208981.74
2022/8/19,231326.37
